DATE,MinTemp,MaxTemp,AvgTemp,Sunrise,Sunset
1/1/2014,33,46,40,657,1756
1/2/2014,35,50,43,657,1756
1/3/2014,36,45,41,657,1757
1/4/2014,32,41,37,658,1757
1/5/2014,24,38,31,658,1758
1/6/2014,22,39,31,658,1759
1/7/2014,28,45,37,658,1759
1/8/2014,30,41,36,659,1800
1/9/2014,29,42,36,659,1801
1/10/2014,30,47,39,659,1801
1/11/2014,32,47,40,659,1802
1/12/2014,30,47,39,659,1803
1/13/2014,29,42,36,659,1803
1/14/2014,31,47,39,659,1804
1/15/2014,35,51,43,659,1804
1/16/2014,35,55,45,700,1805
1/17/2014,42,57,50,700,1806
1/18/2014,38,54,46,700,1806
1/19/2014,37,51,44,700,1807
1/20/2014,36,53,45,659,1808
1/21/2014,40,55,48,659,1808
1/22/2014,31,44,38,659,1809
1/23/2014,31,46,39,659,1810
1/24/2014,39,54,47,659,1810
1/25/2014,41,62,52,659,1811
1/26/2014,42,58,50,659,1811
1/27/2014,38,51,45,659,1812
1/28/2014,29,39,34,658,1813
1/29/2014,30,36,33,658,1813
1/30/2014,28,39,34,658,1814
1/31/2014,33,42,38,658,1814
2/1/2014,35,50,43,657,1815
2/2/2014,37,49,43,657,1816
2/3/2014,36,50,43,657,1816
2/4/2014,36,55,46,656,1817
2/5/2014,38,53,46,656,1817
2/6/2014,39,49,44,655,1818
2/7/2014,39,52,46,655,1818
2/8/2014,37,52,45,655,1819
2/9/2014,34,57,46,654,1819
2/10/2014,36,54,45,654,1820
2/11/2014,34,52,43,653,1820
2/12/2014,35,52,44,653,1821
2/13/2014,35,49,42,652,1821
2/14/2014,36,48,42,652,1822
2/15/2014,38,55,47,651,1822
2/16/2014,36,46,41,651,1823
2/17/2014,36,43,40,650,1823
2/18/2014,37,45,41,649,1823
2/19/2014,35,46,41,649,1824
2/20/2014,33,47,40,648,1824
2/21/2014,34,48,41,647,1825
2/22/2014,34,48,41,647,1825
2/23/2014,33,48,41,646,1825
2/24/2014,33,50,42,646,1826
2/25/2014,33,47,40,645,1826
2/26/2014,36,50,43,644,1827
2/27/2014,36,55,46,643,1827
2/28/2014,36,57,47,643,1827
3/1/2014,41,55,48,642,1828
3/2/2014,31,45,38,641,1828
3/3/2014,31,42,37,640,1828
3/4/2014,34,43,39,640,1829
3/5/2014,33,46,40,639,1829
3/6/2014,35,46,41,638,1829
3/7/2014,34,54,44,637,1830
3/8/2014,34,43,39,637,1830
3/9/2014,36,47,42,636,1830
3/10/2014,32,47,40,635,1831
3/11/2014,31,49,40,634,1831
3/12/2014,29,50,40,633,1831
3/13/2014,33,55,44,632,1832
3/14/2014,36,51,44,632,1832
3/15/2014,32,48,40,631,1832
3/16/2014,31,49,40,630,1832
3/17/2014,36,53,45,629,1833
3/18/2014,35,53,44,628,1833
3/19/2014,35,53,44,627,1833
3/20/2014,33,48,41,626,1833
3/21/2014,30,48,39,626,1834
3/22/2014,30,43,37,625,1834
3/23/2014,32,45,39,624,1834
3/24/2014,31,51,41,623,1834
3/25/2014,34,53,44,622,1835
3/26/2014,35,55,45,621,1835
3/27/2014,31,46,39,620,1835
3/28/2014,29,43,36,620,1835
3/29/2014,32,39,36,619,1836
3/30/2014,32,41,37,618,1836
3/31/2014,31,42,37,617,1836
4/1/2014,34,45,40,616,1836
4/2/2014,33,52,43,615,1837
4/3/2014,36,51,44,614,1837
4/4/2014,31,50,41,614,1837
4/5/2014,31,51,41,613,1838
4/6/2014,35,49,42,612,1838
4/7/2014,35,49,42,611,1838
4/8/2014,35,52,44,610,1838
4/9/2014,36,53,45,610,1839
4/10/2014,35,55,45,609,1839
4/11/2014,37,56,47,608,1839
